"tm"	"channel_name"	"ocean_region"	"ges_id_octal"	"channel_unit_id"	"channel_type"	"su_type"	"BFO"	"BTO"
2014-03-07 16:42:39	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,121,9940"	121	9940
2014-03-07 16:42:39	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9940"	124	9940
2014-03-07 16:42:39	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9940"	124	9940
2014-03-07 16:42:41	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,122,9900"	122	9900
2014-03-07 16:42:41	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,122,9900"	122	9900
2014-03-07 16:42:41	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:41	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:41	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:42	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:42	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:42	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:42	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:42	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:42	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,122,9900"	122	9900
2014-03-07 16:42:43	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,122,9900"	122	9900
2014-03-07 16:42:43	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,123,9900"	123	9900
2014-03-07 16:42:43	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,123,9900"	123	9900
2014-03-07 16:42:43	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,124,9900"	124	9900
2014-03-07 16:42:44	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x62,-,Acknowledge,User,Data"	NA	NA
2014-03-07 16:42:45	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x71,-,User,Data,(ISU),-,RLS"	NA	NA
2014-03-07 16:42:45	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:42:45	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
